Display Name,Species ID,HP,Attack,Defense,Speed,Sp. Attack,Sp. Defense,Total Stats,Type 1,Type 2,Growth Rate,Evolution Species,Evolution Method,Evolution Level
Bulbasaur,BULBASAUR,45,49,49,45,65,65,318,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Ivysaur,IVYSAUR,60,62,63,60,80,80,405,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Venusaur,VENUSAUR,80,82,83,80,100,100,525,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Venusaur_mega,VENUSAUR_MEGA,80,100,123,80,122,120,625,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Venusaur_gmax,VENUSAUR_GMAX,80,82,83,80,100,100,525,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Charmander,CHARMANDER,39,52,43,65,60,50,309,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Charmeleon,CHARMELEON,58,64,58,80,80,65,405,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Charizard,CHARIZARD,78,84,78,100,109,85,534,TYPE_FIRE,TYPE_FLYING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Charizard_mega_x,CHARIZARD_MEGA_X,78,130,111,100,130,85,634,TYPE_FIRE,TYPE_DRAGON,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Charizard_mega_y,CHARIZARD_MEGA_Y,78,104,78,100,159,115,634,TYPE_FIRE,TYPE_FLYING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Charizard_gmax,CHARIZARD_GMAX,78,84,78,100,109,85,534,TYPE_FIRE,TYPE_FLYING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Squirtle,SQUIRTLE,44,48,65,43,50,64,314,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Wartortle,WARTORTLE,59,63,80,58,65,80,405,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Blastoise,BLASTOISE,79,83,100,78,85,105,530,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Blastoise_mega,BLASTOISE_MEGA,79,103,120,78,135,115,630,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Blastoise_gmax,BLASTOISE_GMAX,79,83,100,78,85,105,530,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Caterpie,CATERPIE,45,30,35,45,20,20,195,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,NONE,NONE,0
Metapod,METAPOD,50,20,55,30,25,25,205,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,NONE,NONE,0
Butterfree,BUTTERFREE,60,45,50,70,0,80,305,TYPE_BUG,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0
Butterfree_gmax,BUTTERFREE_GMAX,60,45,50,70,0,80,305,TYPE_BUG,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0
Weedle,WEEDLE,40,35,30,50,20,20,195,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0
Kakuna,KAKUNA,45,25,50,35,25,25,205,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0
Beedrill,BEEDRILL,65,0,40,75,45,80,305,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0
Beedrill_mega,BEEDRILL_MEGA,65,0,40,145,15,80,345,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0
Pidgey,PIDGEY,40,45,40,56,35,35,251,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Pidgeotto,PIDGEOTTO,63,60,55,71,50,50,349,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Pidgeot,PIDGEOT,83,80,75,0,70,70,378,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
