name,effect,power,type,Thru Gen 4?,accuracy,pp,target,priority,category,additional_effects,description
Growth,EFFECT_SPECIAL_ATTACK_UP EFFECT_GROWTH,0,TYPE_NORMAL,N,0,40,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,"Forces the body to grow, "
Foresight,EFFECT_FORESIGHT,0,TYPE_NORMAL,N,100,40,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Negates the foe's efforts to heighten evasiveness.
Acid Armor,EFFECT_DEFENSE_UP_2,0,TYPE_POISON,N,0,40,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Liquifies the user's body to sharply raise Defense.
Growl,EFFECT_ATTACK_DOWN,0,TYPE_NORMAL,N,100,40,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_STATUS,,Growls cutely to reduce the foe's Attack.
Screech,EFFECT_DEFENSE_DOWN_2,0,TYPE_NORMAL,N,85 90,40,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Emits a screech to sharply reduce the foe's Defense.
Corrosive Gas,EFFECT_CORROSIVE_GAS,0,TYPE_POISON,N,100,40,MOVE_TARGET_FOES_AND_ALLY,0,DAMAGE_CATEGORY_STATUS,,Highly acidic gas melts items held by surrounding Pokémon.
Odor Sleuth,EFFECT_FORESIGHT,0,TYPE_NORMAL,N,0,40,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Negates the foe's efforts to heighten evasiveness.
Defense Curl,EFFECT_DEFENSE_CURL,0,TYPE_NORMAL,N,0,40,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Curls up to conceal weak spots and raise Defense.
Splash,EFFECT_DO_NOTHING,0,TYPE_NORMAL,N,0,40,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,It's just a splash... Has no effect whatsoever.
Leafage,EFFECT_HIT,40,TYPE_GRASS,N,100,40,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,Attacks with a flurry of small leaves.
Branch Poke,EFFECT_HIT,40,TYPE_GRASS,N,100,40,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,The user pokes the target with a pointed branch.
String Shot,EFFECT_SPEED_DOWN,0,TYPE_BUG,N,95 100,40,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_STATUS,,Binds the foe with string to reduce its Speed.
Cotton Spore,EFFECT_SPEED_DOWN_2,0,TYPE_GRASS,N,85 95,40,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"Spores cling to the foe, sharply reducing Speed."
Baton Pass,EFFECT_BATON_PASS,0,TYPE_NORMAL,N,0,40,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Switches out the user while keeping effects in play.
Metal Sound,EFFECT_SPECIAL_DEFENSE_DOWN_2,0,TYPE_STEEL,N,85 90,40,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Emits a horrible screech that sharply lowers Sp. Def.
Poison Gas,EFFECT_POISON,0,TYPE_POISON,N,55,40,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Envelops the foe in a toxic gas that may poison.
Howl,EFFECT_ATTACK_UP,0,TYPE_NORMAL,N,0,40,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Howls to raise the spirit and boosts Attack.
Meditate,EFFECT_ATTACK_UP,0,TYPE_PSYCHIC,N,0,40,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Meditates in a peaceful fashion to raise Attack.
Withdraw,EFFECT_DEFENSE_UP,0,TYPE_WATER,N,0,40,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Withdraws the body into its hard shell to raise Defense.
Celebrate,EFFECT_CELEBRATE,0,TYPE_NORMAL,N,0,40,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Congratulates you on your special day.
Hold Hands,EFFECT_HOLD_HANDS,0,TYPE_NORMAL,N,0,40,MOVE_TARGET_ALLY,0,DAMAGE_CATEGORY_STATUS,,The user and ally hold hands making them happy.
Swords Dance,EFFECT_ATTACK_UP_2,0,TYPE_NORMAL,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,A fighting dance that sharply raises Attack.
Tail Whip,EFFECT_DEFENSE_DOWN,0,TYPE_NORMAL,N,100,30,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_STATUS,,Wags the tail to lower the foe's Defense.
Miracle Eye,EFFECT_MIRACLE_EYE,0,TYPE_PSYCHIC,N,0,40,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Negate evasiveness and Dark-type's immunities.
Leer,EFFECT_DEFENSE_DOWN,0,TYPE_NORMAL,N,100,30,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_STATUS,,Frightens the foe with a leer to lower Defense.
Noble Roar,EFFECT_NOBLE_ROAR,0,TYPE_NORMAL,N,100,30,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,"Intimidates the foe, to cut Attack and Sp. Atk."
Glare,EFFECT_PARALYZE,0,TYPE_NORMAL,N,75 85,30,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Intimidates and frightens the foe into paralysis.
Poison Sting,EFFECT_HIT,15 35,TYPE_POISON,N,100,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,MOVE_EFFECT_POISON,"A toxic attackwith barbs, etc.,that may poison."
Peck,EFFECT_HIT,35,TYPE_FLYING,N,100,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"Attacks the foe with a jabbing beak, etc."
Harden,EFFECT_DEFENSE_UP,0,TYPE_NORMAL,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Stiffens the body's  muscles to raise Defense.
Focus Energy,EFFECT_FOCUS_ENERGY,0,TYPE_NORMAL,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Focuses power to raise the  critical-hit ratio.
Gust,EFFECT_HIT,40,TYPE_FLYING,N,100,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,,Strikes the foe with a gust of wind whipped up by wings.
Wing Attack,EFFECT_HIT,60,TYPE_FLYING,N,100,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,Strikes the foe with wings spread wide.
Sharpen,EFFECT_ATTACK_UP,0,TYPE_NORMAL,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Reduces the polygon count and raises Attack.
Metal Claw,EFFECT_HIT,50,TYPE_STEEL,N,95 100,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,MOVE_EFFECT_ATK_PLUS_1,A claw attack thatmay raise theuser's Attack.
Poison Powder,EFFECT_POISON,0,TYPE_POISON,N,75,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_STATUS,,Scatters a toxic powder that may poison the foe.
Extrasensory,EFFECT_HIT,80,TYPE_PSYCHIC,N,100,30,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_SPECIAL,MOVE_EFFECT_FLINCH,Attacks with apeculiar power.May causeflinching.
Conversion,EFFECT_CONVERSION,0,TYPE_NORMAL,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Changes the user's type into a known move's type.
Barrier,EFFECT_DEFENSE_UP_2,0,TYPE_PSYCHIC,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Creates a barrier that sharply raises Defense.
Tailwind,EFFECT_TAILWIND,0,TYPE_FLYING,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Whips up a turbulent breeze  that raises Speed.
Conversion 2,EFFECT_CONVERSION_2,0,TYPE_NORMAL,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Makes the user resistant to the last attack's type.
Acupressure,EFFECT_ACUPRESSURE,0,TYPE_NORMAL,N,0,30,MOVE_TARGET_USER | MOVE_TARGET_ALLY,0,DAMAGE_CATEGORY_STATUS,,The user sharply raises one of its stats.
Lucky Chant,EFFECT_LUCKY_CHANT,0,TYPE_NORMAL,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Prevents the foe from landing critical hits.
Magnitude,EFFECT_MAGNITUDE,1,TYPE_GROUND,N,100,30,MOVE_TARGET_FOES_AND_ALLY,0,DAMAGE_CATEGORY_PHYSICAL,,A ground-shaking attack of random intensity.
Bullet Seed,EFFECT_MULTI_HIT,10 22,TYPE_GRASS,N,100,30,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,Shoots 2 to 5 seeds in a row to strike the foe.
Icicle Spear,EFFECT_MULTI_HIT,10 22,TYPE_ICE,N,100,30 15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,Attacks the foe by firing 2 to 5 icicles in a row.
Bubble,EFFECT_HIT,20 30,TYPE_WATER,N,100,30,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_SPECIAL,MOVE_EFFECT_SPD_MINUS_1,An attack usingbubbles. May lowerthe foe's Speed.
Lick,EFFECT_HIT,20 35,TYPE_GHOST,N,100,30,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,MOVE_EFFECT_PARALYSIS,Licks with a longtongue to injure.May also paralyze.
Bulk Up,EFFECT_BULK_UP,0,TYPE_FIGHTING,N,0,20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,Bulks up the body to boost both Attack and Defense.
Acid,EFFECT_HIT,40 55,TYPE_POISON,N,100 95,30,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_SPECIAL,MOVE_EFFECT_SP_DEF_MINUS_1,Sprays ahide-melting acid. May lower Sp. Def.
Ion Deluge,EFFECT_ION_DELUGE,0,TYPE_ELECTRIC,N,0,25,MOVE_TARGET_ALL_BATTLERS,1,DAMAGE_CATEGORY_STATUS,,Electrifies Normal-type moves with charged atoms.
Work Up,EFFECT_ATTACK_SPATK_UP,0,TYPE_NORMAL,N,0,30,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,The user is roused. Ups Attack and Sp. Atk.
Victory Dance,EFFECT_VICTORY_DANCE,0,TYPE_FIGHTING,N,0,20,MOVE_TARGET_USER,0,DAMAGE_CATEGORY_STATUS,,"Dances to raise Attack, Defense and Speed."
