name,effect,power,type,accuracy,pp,target,priority,category,additional_effects,description
-,EFFECT_HIT,0,TYPE_NORMAL,0,0,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,""""""
Pound,EFFECT_HIT,40,TYPE_NORMAL,100,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Pounds the foe\n""             ""with forelegs\n""             ""or tail."""
Karate Chop,EFFECT_HIT,50,TYPE_FIGHTING,100,25,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""A chopping attack\n""             ""with a high\n""             ""crit ratio."""
Double Slap,EFFECT_MULTI_HIT,18,TYPE_NORMAL,95,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Repeatedly slaps\n""             ""the foe 2 to 5\n""             ""times."""
Comet Punch,EFFECT_MULTI_HIT,22,TYPE_NORMAL,95,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Repeatedly punches\n""             ""the foe 2 to 5\n""             ""times."""
Mega Punch,EFFECT_HIT,80,TYPE_NORMAL,90,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""A strong punch\n""             ""thrown with\n""             ""incredible power."""
Pay Day,EFFECT_HIT,55,TYPE_NORMAL,100,20,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_PAYDAY","""Throws coins at the\n""             ""foe. Money is\n""             ""recovered after."""
Fire Punch,EFFECT_HIT,75,TYPE_FIRE,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_BURN","""A fiery punch that\n""             ""may burn the foe."""
Ice Punch,EFFECT_HIT,75,TYPE_ICE,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_FREEZE_OR_FROSTBITE","""An icy punch that\n""             ""may freeze the foe."""
Thunder Punch,EFFECT_HIT,75,TYPE_ELECTRIC,100,15,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_PARALYSIS","""An electrified\n""             ""punch that may\n""             ""paralyze the foe."""
Scratch,EFFECT_HIT,40,TYPE_NORMAL,100,35,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Scratches the foe\n""             ""with\nsharp claws."""
Vise Grip,EFFECT_HIT,65,TYPE_NORMAL,100,30,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""Grips the foe with\n""             ""large and powerful\n""             ""pincers."""
Guillotine,EFFECT_OHKO,1,TYPE_NORMAL,30,5,MOVE_TARGET_SELECTED,0,DAMAGE_CATEGORY_PHYSICAL,,"""A powerful pincer\n""             ""attack that may\n""             ""cause fainting."""
Razor Wind,EFFECT_HIT,140,TYPE_NORMAL,90,5,MOVE_TARGET_BOTH,0,DAMAGE_CATEGORY_PHYSICAL,"ADDITIONAL_EFFECTS({
            .moveEffect = MOVE_EFFECT_ATK_MINUS_2","""A full-power attack\n""             ""that sharply lowers\n""             ""the user's Atk."""
