map,species,min_level,max_level,encounter_type,encounter_rate,Run Order
MAP_SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,SPECIES_UNOWN,25,25,land_mons,100,
MAP_SEVEN_ISLAND_TANOBY_RUINS_LIPTOO_CHAMBER,SPECIES_UNOWN,25,25,land_mons,100,
MAP_SEVEN_ISLAND_TANOBY_RUINS_WEEPTH_CHAMBER,SPECIES_UNOWN,25,25,land_mons,100,
MAP_SEVEN_ISLAND_TANOBY_RUINS_DILFORD_CHAMBER,SPECIES_UNOWN,25,25,land_mons,100,
MAP_SEVEN_ISLAND_TANOBY_RUINS_SCUFIB_CHAMBER,SPECIES_UNOWN,25,25,land_mons,100,
MAP_SEVEN_ISLAND_TANOBY_RUINS_RIXY_CHAMBER,SPECIES_UNOWN,25,25,land_mons,100,
MAP_SEVEN_ISLAND_TANOBY_RUINS_VIAPOIS_CHAMBER,SPECIES_UNOWN,25,25,land_mons,100,
MAP_VIRIDIAN_FOREST,SPECIES_CATERPIE,5,6,land_mons,20,4
MAP_VIRIDIAN_FOREST,SPECIES_WEEDLE,5,6,land_mons,20,4
MAP_VIRIDIAN_FOREST,SPECIES_SPINARAK,5,6,land_mons,10,4
MAP_VIRIDIAN_FOREST,SPECIES_LEDYBA,5,6,land_mons,10,4
MAP_VIRIDIAN_FOREST,SPECIES_WURMPLE,5,6,land_mons,10,4
MAP_VIRIDIAN_FOREST,SPECIES_SURSKIT,5,6,land_mons,10,4
MAP_VIRIDIAN_FOREST,SPECIES_METAPOD,5,6,land_mons,5,4
MAP_VIRIDIAN_FOREST,SPECIES_KAKUNA,5,6,land_mons,5,4
MAP_VIRIDIAN_FOREST,SPECIES_SILCOON,5,6,land_mons,4,4
MAP_VIRIDIAN_FOREST,SPECIES_CASCOON,5,6,land_mons,4,4
MAP_VIRIDIAN_FOREST,SPECIES_BUDEW,6,6,land_mons,1,4
MAP_VIRIDIAN_FOREST,SPECIES_PIKACHU,6,6,land_mons,1,4
MAP_MT_MOON_1F,SPECIES_ZUBAT,8,10,land_mons,20,6
MAP_MT_MOON_1F,SPECIES_WHISMUR,8,10,land_mons,20,6
MAP_MT_MOON_1F,SPECIES_GEODUDE,8,10,land_mons,10,6
MAP_MT_MOON_1F,SPECIES_SHUPPET,8,10,land_mons,10,6
MAP_MT_MOON_1F,SPECIES_ARON,8,10,land_mons,10,6
