Display Name,Species ID,HP,Attack,Defense,Speed,Sp. Attack,Sp. Defense,Total Stats,Type 1,Type 2,Growth Rate,Evolution Species,Evolution Method,Evolution Level,
Happiny,HAPPINY,100,5,5,30,15,65,220,TYPE_NORMAL,TYPE_NORMAL,GROWTH_FAST,CHANSEY,EVO_ITEM_HOLD,ITEM_OVAL_STONE,
Happiny,HAPPINY,100,5,5,30,15,65,220,TYPE_NORMAL,TYPE_NORMAL,GROWTH_FAST,CHANSEY,EVO_ITEM,ITEM_OVAL_STONE,
Chansey,CHANSEY,250,5,5,50,35,105,450,TYPE_NORMAL,TYPE_NORMAL,GROWTH_FAST,BLISSEY,EVO_FRIENDSHIP,0,
Blissey,BLISSEY,255,10,10,55,75,135,540,TYPE_NORMAL,TYPE_NORMAL,GROWTH_FAST,NONE,NONE,0,
Magikarp,MAGIKARP,20,10,55,80,15,20,200,TYPE_WATER,TYPE_WATER,GROWTH_SLOW,GYARADOS,EVO_LEVEL,20,
Shuckle,SHUCKLE,20,10,230,5,10,230,505,TYPE_BUG,TYPE_ROCK,GROWTH_MEDIUM_SLOW,NONE,NONE,0,
Feebas,FEEBAS,20,15,20,80,10,55,200,TYPE_WATER,TYPE_WATER,GROWTH_ERRATIC,MILOTIC,EVO_BEAUTY,170,
Feebas,FEEBAS,20,15,20,80,10,55,200,TYPE_WATER,TYPE_WATER,GROWTH_ERRATIC,MILOTIC,EVO_ITEM,ITEM_PRISM_SCALE,
Metapod,METAPOD,70,20,55,30,25,25,225,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,BUTTERFREE,EVO_LEVEL,10,
Abra,ABRA,25,20,15,90,105,55,310,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,KADABRA,EVO_LEVEL,16,
Togepi,TOGEPI,45,20,65,20,40,65,255,UNKNOWN,UNKNOWN,GROWTH_FAST,TOGETIC,EVO_FRIENDSHIP,0,
Marill,MARILL,70,20,50,40,20,50,250,TYPE_WATER,TYPE_FAIRY,GROWTH_FAST,AZUMARILL,EVO_LEVEL,18,"+35 to atk, +15 to def, +30 to spatk, +15 to spdef"
Mantyke,MANTYKE,45,20,50,50,60,120,345,TYPE_WATER,TYPE_FLYING,GROWTH_SLOW,MANTINE,EVO_SPECIFIC_MON_IN_PARTY,SPECIES_REMORAID,
Smeargle,SMEARGLE,55,20,35,75,20,45,250,TYPE_NORMAL,TYPE_NORMAL,GROWTH_FAST,NONE,NONE,0,
Wynaut,WYNAUT,95,23,48,23,23,48,260,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,WOBBUFFET,EVO_LEVEL,15,
Bronzor,BRONZOR,57,24,86,23,24,86,300,TYPE_STEEL,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,BRONZONG,EVO_LEVEL,33,
Kakuna,KAKUNA,65,25,50,35,25,25,225,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,BEEDRILL,EVO_LEVEL,10,
Cleffa,CLEFFA,50,25,28,15,45,55,218,UNKNOWN,UNKNOWN,GROWTH_FAST,CLEFAIRY,EVO_FRIENDSHIP,0,
Mime Jr.,MIME_JR,20,25,45,60,70,90,310,TYPE_PSYCHIC,TYPE_FAIRY,GROWTH_MEDIUM_FAST,MR_MIME,EVO_MOVE,MOVE_MIMIC,
Mime Jr.,MIME_JR,20,25,45,60,70,90,310,TYPE_PSYCHIC,TYPE_FAIRY,GROWTH_MEDIUM_FAST,MR_MIME_GALAR,EVO_NONE,0,
Ralts,RALTS,30,25,25,40,45,35,200,UNKNOWN,UNKNOWN,GROWTH_SLOW,KIRLIA,EVO_LEVEL,20,
Spoink,SPOINK,60,25,35,60,70,80,330,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_FAST,GRUMPIG,EVO_LEVEL,32,
Burmy,BURMY_PLANT,40,29,45,36,29,45,224,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,WORMADAM_PLANT,EVO_LEVEL_FEMALE,20,
Burmy,BURMY_PLANT,40,29,45,36,29,45,224,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,MOTHIM_PLANT,EVO_LEVEL_MALE,20,
